PMID,SPLIT,DOMAIN,OBSERVED
21185518,test,EMOTION,1.3227958894634464
22137181,test,EMOTION,1.4347994922044958
23428568,test,EMOTION,1.1565255827897425
25790002,test,EMOTION,1.3529612943650555
27213610,test,EMOTION,1.4385432909943263
10195113,test,VISION,1.0415465575603517
11168567,test,VISION,1.0870309098211746
11182099,test,VISION,1.1792264219907418
11257978,test,VISION,1.0192304066107638
11506539,test,VISION,1.0419433789107804
11707096,test,VISION,1.1342045138730232
11926931,test,VISION,1.0932310689883566
12653987,test,VISION,1.1167449728661014
12812832,test,VISION,1.0469694313384281
12823480,test,VISION,1.0926489287321615
15627583,test,VISION,1.0673957972377157
15978022,test,VISION,0.9800363255002369
17055155,test,VISION,1.0545638524417298
17499172,test,VISION,1.1594110357573852
17717657,test,VISION,1.122341487481522
18063476,test,VISION,1.1180066009405116
18435752,test,VISION,1.0817175968277415
18515149,test,VISION,1.0335168740582403
19288466,test,VISION,1.1172545168759345
19619661,test,VISION,1.162463149527705
19771159,test,VISION,1.136377518489824
22235032,test,VISION,1.1592473056646364
22941501,test,VISION,1.0342678855429026
23138728,test,VISION,0.9388035608737157
23303932,test,VISION,1.059562373594312
23404335,test,VISION,1.1014934697350345
23804086,test,VISION,1.0643899063938158
24416003,test,VISION,1.0136043418678418
24513528,test,VISION,1.0535982467960976
24702449,test,VISION,1.1231764948344003
24742157,test,VISION,1.0789438514688732
25392511,test,VISION,1.0791123749518996
25557401,test,VISION,0.958217220297146
26129732,test,VISION,1.0567442138615848
27014015,test,VISION,0.9998141255553599
27402599,test,VISION,1.0383254295942006
28338791,test,VISION,1.0347434002739453
28701942,test,VISION,1.1136544537075805
28821668,test,VISION,1.1508753518269892
29086468,test,VISION,1.0770036742431994
8673502,test,LANGUAGE,1.127884953845659
9918735,test,LANGUAGE,1.2856082618810234
10022496,test,LANGUAGE,1.3047208730802011
10769317,test,LANGUAGE,1.1260553922237075
11742243,test,LANGUAGE,1.2635641659053345
12909719,test,LANGUAGE,1.3794000397922865
14568459,test,LANGUAGE,1.1533826653852275
15217896,test,LANGUAGE,1.1731484408516544
15258587,test,LANGUAGE,1.3035923696867668
16460792,test,LANGUAGE,1.166577797064157
16530428,test,LANGUAGE,1.2517901360757926
16568426,test,LANGUAGE,1.1618321412252606
16781167,test,LANGUAGE,1.2966515351773866
16855090,test,LANGUAGE,1.1727406922429244
16928852,test,LANGUAGE,1.336050398058586
17049276,test,LANGUAGE,1.1478933578414188
17488205,test,LANGUAGE,1.2012746956277962
17890108,test,LANGUAGE,1.1599937161770464
18822455,test,LANGUAGE,1.2268824778644543
19162389,test,LANGUAGE,1.1676702646484145
19345269,test,LANGUAGE,1.3424926321795032
19347876,test,LANGUAGE,1.5327372545863334
19413945,test,LANGUAGE,1.1051916373642197
19481162,test,LANGUAGE,1.3470575750179585
19505993,test,LANGUAGE,1.1155769514677096
19948232,test,LANGUAGE,1.1303625871383165
20219991,test,LANGUAGE,1.4413095405025353
20932914,test,LANGUAGE,1.280595665145851
21439268,test,LANGUAGE,1.0820665756128536
21600290,test,LANGUAGE,1.116660551172015
22330101,test,LANGUAGE,1.3383254849488257
23019005,test,LANGUAGE,1.1538359387337012
23672819,test,LANGUAGE,1.2061953565935322
23681887,test,LANGUAGE,1.2136128965698847
24135134,test,LANGUAGE,1.2314065317735075
24396008,test,LANGUAGE,1.1237431197286305
25173956,test,LANGUAGE,1.2505130898553676
25438031,test,LANGUAGE,1.1716591719016642
27669107,test,LANGUAGE,1.339198032310989
28254454,test,LANGUAGE,1.2457161950894873
28753443,test,LANGUAGE,1.1129402102490926
29885085,test,LANGUAGE,1.0947586293134248
15275907,test,MEMORY,1.0308337094955753
16082657,test,MEMORY,1.1262958256661262
16473024,test,MEMORY,1.2225008872213234
18511301,test,MEMORY,1.0109264891600156
19682867,test,MEMORY,1.0867772964059095
19734016,test,MEMORY,1.099412560447431
20079444,test,MEMORY,1.1443604468405801
20570684,test,MEMORY,1.1136673602196665
20594938,test,MEMORY,1.196524263538771
21471360,test,MEMORY,1.1503491542981847
21671733,test,MEMORY,1.1451853538796573
21898674,test,MEMORY,1.2209969623904997
22640391,test,MEMORY,1.0690344726808685
23553546,test,MEMORY,1.1440972582186506
23646167,test,MEMORY,1.1656347673761849
24788317,test,MEMORY,1.0756393368062944
25323387,test,MEMORY,1.1189886767904484
25700951,test,MEMORY,1.1808079004337766
25757652,test,MEMORY,1.1792656270550717
26683080,test,MEMORY,1.0534280673871301
26869907,test,MEMORY,1.1545300196325976
27206426,test,MEMORY,1.1689379565449411
27899123,test,MEMORY,1.1879997770909958
28733247,test,MEMORY,1.1270710519381586
9051780,test,COGNITION,1.0879757334425804
9345478,test,COGNITION,1.2009714543457213
9345483,test,COGNITION,1.1431552794244246
9401596,test,COGNITION,1.190598218790379
9882087,test,COGNITION,1.1857205124670396
10388802,test,COGNITION,1.1502514268982678
10527065,test,COGNITION,1.1855554910389778
10619415,test,COGNITION,1.1547899464812426
10906317,test,COGNITION,1.1173686307302795
11002353,test,COGNITION,1.2138195199831823
11095716,test,COGNITION,1.0836645614761988
11162272,test,COGNITION,1.2344129842797513
11240106,test,COGNITION,1.221945352715242
11438629,test,COGNITION,1.0763291868995064
11506651,test,COGNITION,1.1603762966571989
