PMID,SPLIT,DOMAIN,OBSERVED
8805334,test,PERCEPTION,1.2912673758125184
10923655,test,PERCEPTION,1.1809806182037101
11711895,test,PERCEPTION,1.2117254924266478
12091578,test,PERCEPTION,1.1401732602421322
14527597,test,PERCEPTION,1.2941430736267874
15217896,test,PERCEPTION,1.1086354009561292
15808988,test,PERCEPTION,1.2517466166544928
15905031,test,PERCEPTION,1.2538527516214666
15907316,test,PERCEPTION,1.1958399278074134
15921935,test,PERCEPTION,1.2719152541017908
16255007,test,PERCEPTION,1.1377348299848422
16530428,test,PERCEPTION,1.0989635954247505
16928852,test,PERCEPTION,1.3040364801199205
17123710,test,PERCEPTION,0.9996025417342337
17462916,test,PERCEPTION,1.223687880667624
18822455,test,PERCEPTION,1.1453379209756438
19162389,test,PERCEPTION,1.1349471907077024
19413945,test,PERCEPTION,1.1206300544349332
19585590,test,PERCEPTION,1.0262930572068687
19812344,test,PERCEPTION,1.2739468800174765
19948232,test,PERCEPTION,1.1082889522150652
20861384,test,PERCEPTION,1.2031307592914788
20932914,test,PERCEPTION,1.2023954213760322
21508220,test,PERCEPTION,1.091335673249961
21624474,test,PERCEPTION,1.1606800444760559
22330101,test,PERCEPTION,1.183468921521898
22819967,test,PERCEPTION,1.0065906797161233
22831862,test,PERCEPTION,1.0968993112533982
23200718,test,PERCEPTION,1.2260703755475646
25173956,test,PERCEPTION,1.1848931406924665
25331600,test,PERCEPTION,1.1289102723266191
25613901,test,PERCEPTION,1.0286311127814176
26603369,test,PERCEPTION,1.1573430559881792
27122026,test,PERCEPTION,1.1287216302727863
27307373,test,PERCEPTION,1.1141908920524433
27916664,test,PERCEPTION,1.1323186035521478
28254454,test,PERCEPTION,1.1329917718933458
28753443,test,PERCEPTION,1.0952364367448943
29535619,test,PERCEPTION,1.0976660011526294
11704074,test,MEMORY,1.1772066315460503
11997687,test,MEMORY,1.1253017863756454
12670429,test,MEMORY,1.1754819612312615
12880846,test,MEMORY,1.059717549288376
14741683,test,MEMORY,1.0489386843350839
15689557,test,MEMORY,1.101730405114653
15919215,test,MEMORY,1.0318418347375873
16292319,test,MEMORY,1.0550626150724518
16510224,test,MEMORY,1.3440288426166913
17276751,test,MEMORY,1.3066955302917551
17499456,test,MEMORY,1.1057727003703686
17617382,test,MEMORY,1.0371459945548804
17768265,test,MEMORY,1.0326808982156306
17963998,test,MEMORY,1.060863345218845
18234685,test,MEMORY,1.084017788611294
18342424,test,MEMORY,1.07987996883456
18344175,test,MEMORY,1.0338610493333067
18675362,test,MEMORY,1.06258223275535
18820289,test,MEMORY,1.170138841051721
19553452,test,MEMORY,1.3270343574156986
19734016,test,MEMORY,1.084039039785703
20631183,test,MEMORY,1.3245750073764642
20685091,test,MEMORY,1.1580389936973983
21035553,test,MEMORY,1.28174659033492
21248058,test,MEMORY,1.243768709697577
21590504,test,MEMORY,1.172822276161715
21640840,test,MEMORY,1.3206199990678686
21731599,test,MEMORY,1.0891267120822574
22490172,test,MEMORY,1.001378396294384
22765637,test,MEMORY,1.2345584532873726
22800807,test,MEMORY,1.2105015348976638
22895705,test,MEMORY,1.160659696714007
22987723,test,MEMORY,0.9825783488501362
23313012,test,MEMORY,1.1755539789586147
23751153,test,MEMORY,1.1531143568011433
24269272,test,MEMORY,1.0506010893103241
24396008,test,MEMORY,1.0764034840367909
24564467,test,MEMORY,1.2155273560705189
24798224,test,MEMORY,1.0063854499239486
25319690,test,MEMORY,1.0529953652039763
25554429,test,MEMORY,1.0984101124874939
25630307,test,MEMORY,1.163007202888834
25954169,test,MEMORY,1.309094576614458
26635557,test,MEMORY,1.1985664957900843
26865423,test,MEMORY,1.1159098397158405
26888926,test,MEMORY,1.0816966919221302
27444729,test,MEMORY,1.1695514352496321
27717769,test,MEMORY,1.143786547594288
27842291,test,MEMORY,1.0660024341638306
27898705,test,MEMORY,1.1127764869120498
28093475,test,MEMORY,1.0603664748922468
29133109,test,MEMORY,1.249206212835653
29358913,test,MEMORY,0.9544338485458355
8642414,test,VISION,1.2181418645162994
8673502,test,VISION,1.1966494291331373
8730806,test,VISION,1.2536999809697535
9343594,test,VISION,1.3055040499898
9345478,test,VISION,1.2404613308747043
9345483,test,VISION,1.1828711337927702
9397017,test,VISION,1.2003234128464721
9401596,test,VISION,1.290119343276366
9749761,test,VISION,1.1599191798887414
9927549,test,VISION,1.1374954429478077
10195113,test,VISION,1.1690898911989938
10227106,test,VISION,1.2922766316525955
10527065,test,VISION,1.18969854920015
10619415,test,VISION,1.1750678555342153
10624956,test,VISION,1.2375055414705631
10689056,test,VISION,1.244348047062098
10739412,test,VISION,1.1673016131164917
10906317,test,VISION,1.131805818430594
10920049,test,VISION,1.2182271611858857
11002353,test,VISION,1.1817449513124663
11162266,test,VISION,1.1884048584192044
